Job_title,Link,Company_name,Location&Area,Date,Classification&Subclassification,Salary
Administrator,https://www.seek.co.nz/job/50582301?type=promoted#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,,location: Bay of Plenty area: Tauranga,"Featured,at,Private Advertiser",Administration & Office Support subClassification: Office Management,
Receptionist,https://www.seek.co.nz/job/50620889?type=promoted#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Avenues Orthodontics,location: Bay of Plenty area: Tauranga,"Featured,at",Administration & Office Support subClassification: Receptionists,
Prosecutions Support Officer,https://www.seek.co.nz/job/50622169?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,New Zealand Police,location: Auckland,"4d ago,at",Administration & Office Support subClassification: Other,
Early Childhood Centre Administrator,https://www.seek.co.nz/job/50639620?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Kew Pacific Island Early Learning Centre,location: Southland area: Invercargill,"1h ago,at",Administration & Office Support subClassification: Administrative Assistants,
Business Support Administrator,https://www.seek.co.nz/job/50622432?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,,location: Canterbury area: Christchurch,"4d ago,at,Private Advertiser",Administration & Office Support subClassification: Client & Sales Administration,
Support Officer,https://www.seek.co.nz/job/50640393?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Ministry for Primary Industries,location: Northland area: Whangarei,"9m ago,at",Administration & Office Support subClassification: Administrative Assistants,
Support Officer,https://www.seek.co.nz/job/50615674?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,"Ministry of Business, Innovation and Employment",location: Wellington area: Wellington Central,"5d ago,at",Administration & Office Support subClassification: Other,
office administrator,https://www.seek.co.nz/job/50640166?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Hepburn Electrical Ltd,location: Bay of Plenty area: Rotorua,"7m ago,at",Administration & Office Support subClassification: Administrative Assistants,
Office Administrator,https://www.seek.co.nz/job/50639248?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Webster Holland Ltd,location: Bay of Plenty area: Tauranga,"2h ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administration Officer,https://www.seek.co.nz/job/50629393?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,New Zealand Police,location: Canterbury,"3d ago,at",Administration & Office Support subClassification: Other,
Administration Officer,https://www.seek.co.nz/job/50600186?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Department of Conservation,location: West Coast area: Rest of West Coast,"7d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Data Entry,https://www.seek.co.nz/job/50616188?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Triple One Care,location: Tasman area: Nelson,"5d ago,at",Administration & Office Support subClassification: Data Entry & Word Processing,
